product_name,product_price,Description,Tags,stock_status,SKU,product_catagory
Bulbasaur,£162.00,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger.","['bulbasaur', 'Overgrow', 'Seed']",45 in stock,4391,"Categories: Pokemon, Seed"
Ivysaur,£156.00,"There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon.","['ivysaur', 'Overgrow', 'Seed']",142 in stock,7227,"Categories: Pokemon, Seed"
Venusaur,£133.00,There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.,"['Overgrow', 'Seed', 'venusaur']",30 in stock,7036,"Categories: Pokemon, Seed"
Charmander,£95.00,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.","['Blaze', 'charmander', 'Lizard']",206 in stock,9086,"Categories: Lizard, Pokemon"
Charmeleon,£159.00,"Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.","['Blaze', 'charmeleon', 'Flame']",284 in stock,6565,"Categories: Flame, Pokemon"
Charizard,£133.00,"Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.","['Blaze', 'Charizard', 'Flame']",31 in stock,8840,"Categories: Flame, Pokemon"
Squirtle,£95.00,"Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.","['squirtle', 'Tiny Turtle', 'Torrent']",178 in stock,6094,"Categories: Pokemon, Tiny Turtle"
Wartortle,£73.00,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler.","['Torrent', 'Turtle', 'wartortle']",24 in stock,9659,"Categories: Pokemon, Turtle"
Blastoise,£25.00,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,"['blastoise', 'Shellfish', 'Torrent']",88 in stock,5212,"Categories: Pokemon, Shellfish"
Caterpie,£76.00,"Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.","['caterpie', 'Shield Dust', 'Worm']",40 in stock,7492,"Categories: Pokemon, Worm"
